CustomerID,Name,Region,JoinDate,RewardPoints,LoyaltyTier
1000,Robert Gomez,West,2/25/2024,860,Bronze
1001,John Silva,East,12/1/2020,3772,Silver
1002,Mark Marshall,Central,8/8/2020,3092,Bronze
1003,David Brennan,North,5/21/2020,466,Gold
1004,Kerry Collins,North,9/12/2023,4426,Bronze
1005,Jessica Mora,South,8/5/2021,3444,Bronze
1006,Hannah Ray,West,7/3/2021,3171,Bronze
1007,David Kim,West,5/20/2020,2919,Gold
1008,William Ramirez,EAST,9/15/2023,130,Gold
1009,Zachary Bell Jr.,East,4/20/2023,1685,Bronze
1010,Mike Davis,East,3/23/2022,769,Silver
1011,Amanda Myers,West,9/5/2021,2391,Gold
1012,Tara Miller,North,8/10/2020,2433,Silver
1013,Alyssa Morgan,North,7/22/2022,1184,Silver
1014,Cindy Woods,East,4/2/2024,4555,Bronze
1015,Jennifer Rodgers,North,2/12/2023,3385,Bronze
1016,Andrea Roberts,EAST,5/16/2021,4117,Gold
1017,Brittney Burnett,North,7/3/2020,4843,Gold
1018,Edwin Garrison,south-west,8/31/2020,2904,Silver
1019,Michelle Torres,Central,11/18/2020,474,Bronze
1020,Michelle Brewer,East,7/14/2021,1082,Bronze
1021,Aaron Burnett,South,2/13/2024,2558,Silver
1022,Austin Gutierrez,EAST,11/25/2021,2047,Gold
1023,Dustin Medina,east,6/14/2021,2747,Gold
1024,Andres Avila,Central,9/19/2022,975,Silver
1025,Garrett Lewis,South,8/4/2023,1806,Silver
1026,Gary Walls,North,10/5/2023,189,Bronze
1027,Anthony Schroeder,east,10/4/2020,2734,Bronze
1028,Haley Wagner,West,11/3/2023,3005,Gold
1029,Gina Powers,West,10/26/2022,4658,Silver
1030,Alice Robinson,EAST,8/6/2021,1899,Bronze
1031,Jessica Frazier,West,10/20/2021,1267,Bronze
1032,Terri Long,east,10/23/2022,1528,Silver
1033,Paul Perkins,east,3/16/2022,3202,Bronze
1034,Heather Smith,Central,9/16/2022,3556,Bronze
1035,Lorraine Rodriguez,East,9/26/2022,3890,Silver
1036,Robert Bishop,south-west,9/14/2020,646,Silver
1037,Lisa Sanders,West,6/3/2020,2888,Silver
1038,Jason Ford,EAST,10/9/2023,2435,Bronze
1039,Brandy Good,West,5/21/2023,600,Silver
1040,Angel Lee,Central,4/8/2022,2363,Bronze
1041,David Beltran,east,1/18/2021,2061,Bronze
1042,Christopher Dodson,North,10/30/2023,241,Silver
1043,Eric Pena,West,6/30/2022,2041,Silver
1044,Anita Huerta,East,4/8/2022,2824,Gold
1045,Dr. Susan Bailey,North,10/2/2020,2612,Silver
1046,Tyler Colon,Central,3/3/2021,1363,Silver
1047,Ashley Pearson,West,10/4/2020,1478,Bronze
1048,Dr. Donald Proctor,North,3/17/2024,2556,Bronze
1049,Rebecca Jordan,West,10/8/2022,775,Bronze
1050,Jeffrey Mclaughlin,EAST,3/28/2022,4014,Bronze
1051,Amy Nguyen,Central,2/13/2024,34,Platinum
1052,Brandon Hinton,south-west,11/10/2022,3152,Bronze
1053,Benjamin Cline,east,1/25/2022,1955,Gold
1054,Laura Mcdonald,South,12/3/2022,1585,Silver
1055,William Benitez,east,11/4/2020,3943,Silver
1056,Kristina Wilson,east,5/15/2023,3073,Silver
1057,Kathy Hall,North,10/27/2023,1021,Silver
1058,Steven Jackson,Central,6/26/2020,3461,Bronze
1059,Steve Massey,West,8/6/2020,2613,Bronze
1060,Mr. Christopher Thompson,South,4/10/2023,3843,Silver
1061,Taylor Kaufman,North,7/23/2021,1500,Bronze
1062,Ashley Harmon,South,2/13/2024,4798,Bronze
1063,Howard Case,south-west,2/15/2021,161,Silver
1064,Joshua Cline,EAST,2/19/2024,4297,Bronze
1065,Daniel Adams,Central,7/2/2023,1981,Gold
1066,Derrick Myers,North,4/6/2022,995,Platinum
1067,Lawrence Pearson,east,4/29/2023,4911,Gold
1068,Melissa Gutierrez,East,12/25/2023,3342,Bronze
1069,Virginia Warren,North,8/24/2023,4551,Bronze
1070,Brittany Johnson,East,6/4/2021,3798,Gold
1071,Christopher Frost,east,8/21/2020,1275,Bronze
1072,Shannon Schmitt,EAST,8/23/2022,1016,Platinum
1073,Matthew Clark,Central,8/21/2023,337,Platinum
1074,Alyssa Evans,West,10/27/2021,878,Gold
1075,Joseph Chavez,North,1/1/2023,1076,Bronze
1076,Glenn Shelton,east,5/1/2024,4887,Bronze
1077,Amy Espinoza,North,5/29/2021,3993,Gold
1078,Danielle Fuller,south-west,12/8/2023,4859,Bronze
1079,Zachary Thompson MD,EAST,9/5/2022,379,Bronze
1080,Thomas Parker,south-west,2/28/2023,492,Silver
1081,Ryan White,South,9/4/2020,2062,Gold
1082,Connor Martin,Central,1/5/2023,3884,Silver
1083,Jacqueline Bishop,South,6/5/2020,64,Silver
1084,Martha Mccall,North,5/31/2022,2568,Bronze
1085,Steven Wright,Central,8/22/2021,2027,Silver
1086,Robert Rodriguez,EAST,3/1/2023,2695,Platinum
1087,Carla Tran,EAST,7/22/2020,1495,Bronze
1088,Lindsay Torres,east,12/30/2021,391,Silver
1089,Matthew Hernandez,North,4/12/2023,4514,Gold
1090,Nicholas Dunlap,South,10/11/2020,4474,Silver
1091,Brianna Thomas,south-west,5/23/2023,3561,Silver
1092,Timothy Hill,West,9/7/2023,2278,Silver
1093,Christian Medina,East,2/4/2023,3099,Bronze
1094,Robert Jones,West,11/18/2023,200,Bronze
1095,Dr. Jason Scott,South,4/7/2021,4875,Gold
1096,Patricia Rogers,South,1/10/2024,3104,Gold
1097,Laura Jones,EAST,12/7/2023,4598,Gold
1098,Jeffrey Maxwell,West,1/27/2022,2454,Gold
1099,Lori Howard,EAST,2/27/2021,3645,Silver
1100,Michael Simon,EAST,12/27/2020,804,Silver
1101,Ryan Martin,south-west,11/14/2020,2731,Silver
1102,Robert Hansen,Central,11/19/2022,2773,Silver
1103,Megan Chandler,East,6/25/2023,1570,Silver
1104,David Herrera,West,4/1/2021,2690,Silver
1105,Taylor Clarke,Central,3/11/2023,3840,Gold
1106,Jennifer Ewing,east,5/16/2023,1028,Bronze
1107,Emily Hoffman,West,6/9/2023,502,Bronze
1108,Sharon Bautista,Central,7/31/2022,4493,Bronze
1109,Aaron Garcia,EAST,7/31/2023,870,Silver
1110,Melissa Grimes,South,3/14/2024,4488,Bronze
1111,Ronald Chavez,south-west,6/24/2021,206,Bronze
1112,Joseph Flores,East,4/3/2021,1484,Silver
1113,Louis Jones,Central,7/4/2021,863,Bronze
1114,Grace Price,South,3/25/2022,2790,Silver
1115,Gina Banks,West,9/16/2023,563,Bronze
1116,Melissa Rivera,Central,10/25/2021,4191,Bronze
1117,Amanda Lang,North,4/14/2024,1757,Gold
1118,Briana Alvarado,South,3/18/2022,1678,Bronze
1119,Cameron Hernandez,east,8/8/2022,3242,Bronze
1120,Daniel Meyer,South,3/15/2024,4636,Silver
1121,Stephanie Garrison,East,8/21/2020,1059,Silver
1122,Christopher Martinez,east,10/7/2021,1722,Bronze
1123,Colleen Greene,south-west,8/21/2022,3314,Silver
1124,Megan Novak,East,12/19/2022,3157,Bronze
1125,Debbie Andrews,West,5/22/2021,2625,Bronze
1126,Lee Luna,east,1/19/2021,2729,Silver
1127,George Edwards,Central,5/12/2023,1597,Silver
1128,Vincent Day,North,7/3/2022,3060,Silver
1129,Karina Jones,East,11/5/2023,2693,Silver
1130,Mary Sandoval,North,10/6/2020,4891,Platinum
1131,Mark Gomez,West,6/11/2020,3627,Silver
1132,Scott Winters,West,9/20/2022,1363,Bronze
1133,Victor Wagner,south-west,6/12/2021,1981,Silver
1134,Joseph Aguilar,West,12/5/2023,1663,Bronze
1135,Christopher Chen,South,9/10/2023,1529,Bronze
1136,Scott Hernandez,South,2/9/2024,2038,Bronze
1137,Jessica Harmon,south-west,11/5/2022,3302,Bronze
1138,Bonnie Stewart,South,4/19/2022,2237,Platinum
1139,Heather Olson,Central,4/20/2021,1306,Gold
1140,Carla Flores,EAST,9/30/2020,4029,Silver
1141,David Palmer,North,9/16/2022,2675,Bronze
1142,Marvin Hamilton,North,4/23/2022,1282,Bronze
1143,Miss Chelsea Castro DDS,Central,2/23/2021,709,Bronze
1144,Brian Browning,EAST,5/3/2023,4744,Bronze
1145,Stephanie Powell,east,2/3/2023,4413,Silver
1146,Jonathan Andrade,south-west,6/7/2020,3748,Silver
1147,William Palmer,south-west,8/14/2023,4779,Silver
1148,Dean Allison,West,6/23/2021,663,Bronze
1149,Jordan Elliott,North,5/13/2020,1998,Platinum
1150,Bobby Hunter,North,12/6/2020,3445,Silver
1151,Sabrina Lester,West,7/16/2022,3743,Silver
1152,Thomas Garcia,east,9/14/2022,1495,Silver
1153,Michelle Martinez,East,7/31/2023,3304,Bronze
1154,Edward Castillo,North,10/1/2020,3763,Bronze
1155,Rachel Goodman,North,4/10/2023,1853,Bronze
1156,Dennis Acevedo,East,6/18/2023,4659,Silver
1157,Cheryl Wu,West,12/10/2021,1291,Bronze
1158,Kelly Gallagher,East,3/2/2024,3581,Bronze
1159,Kelli Smith,North,1/28/2022,3457,Bronze
1160,Phillip Soto,West,4/21/2023,1636,Bronze
1161,David Ellis,East,1/2/2023,3696,Gold
1162,Deborah Rice,east,1/14/2022,2999,Silver
1163,Elizabeth Vaughn,West,5/1/2023,3152,Bronze
1164,William Ramsey,North,5/4/2023,698,Bronze
1165,Richard Burnett,Central,7/24/2022,2160,Bronze
1166,David Mccullough,south-west,12/15/2021,4097,Bronze
1167,Terry Frederick,North,12/20/2021,4737,Bronze
1168,Denise Gonzales,South,5/2/2022,854,Bronze
1169,Michael Edwards,south-west,9/26/2023,3474,Bronze
1170,Eric Davis,North,10/15/2023,1707,Silver
1171,Ronald Marquez,south-west,4/21/2024,2777,Silver
1172,Eric Barr,EAST,2/1/2023,1733,Bronze
1173,David King MD,North,9/14/2022,4931,Bronze
1174,Deborah Saunders,West,12/25/2021,3510,Silver
1175,Teresa Lopez,West,10/20/2021,202,Silver
1176,Ashley Williams,EAST,11/24/2021,3255,Gold
1177,Katherine West,east,11/1/2020,4218,Silver
1178,Katherine Kerr,EAST,11/13/2020,4496,Bronze
1179,Desiree Miller,EAST,12/21/2021,766,Bronze
1180,Jennifer Smith,south-west,10/3/2020,4389,Silver
1181,Tiffany Smith,East,4/7/2024,2327,Bronze
1182,James Gray,West,7/24/2020,2931,Silver
1183,Kenneth Graves,East,5/8/2020,197,Gold
1184,Brittney Chen,EAST,7/20/2023,1930,Silver
1185,Cameron Levine,east,7/26/2021,3582,Bronze
1186,Timothy Williams,West,9/28/2021,608,Silver
1187,Kayla Solomon,North,6/10/2022,3272,Bronze
1188,Ashley Todd,North,9/4/2023,1147,Silver
1189,Jennifer Farrell,North,11/18/2022,4282,Gold
1190,Elizabeth Robinson,south-west,12/27/2023,3397,Bronze
1191,Kyle Smith Jr.,South,10/31/2023,2511,Platinum
1192,Gregory Medina,EAST,6/6/2020,1794,Gold
1193,Nancy King,South,5/23/2022,659,Bronze
1194,Casey Brown,Central,2/9/2024,2811,Bronze
1195,Michael Lee,south-west,8/22/2023,1369,Bronze
1196,Dr. Elizabeth Johnston DDS,North,2/9/2022,1986,Bronze
1197,William Wilson,West,4/4/2023,146,Bronze
1198,Chris Allen,south-west,10/11/2022,3219,Silver
1199,James Cooley,West,7/23/2020,2911,Bronze
1005,Jessica Mora,South,8/5/2021,1734,Bronze
